hospital_id,code,code_type,cdm_code,rev_code,description,gross_charge,discounted_cash,setting
san_ramon,,,5300248,250,ALLOPURINOL300MG TB,71.0,53.25,both
san_ramon,,,5300248,637,ALLOPURINOL300MG TB,71.0,53.25,both
san_ramon,,,4020521,250,ALLOWRAP DS OR DRY PER SQ CM,3065.0,2298.75,both
san_ramon,,,4020521,636,ALLOWRAP DS OR DRY PER SQ CM,3065.0,2298.75,both
san_ramon,86003,CPT,7256053,300,ALLRGN SPEC IGE EA/22,3.26,2.45,both
san_ramon,86005,CPT,7256009,300,ALLRGN SPEC IGE QL MULTI/2,3.26,2.45,both
san_ramon,86008,CPT,7250064,300,ALLRGN SPEC IGE RECOMB EA/2,3.26,2.45,both
san_ramon,86001,CPT,7256008,300,ALLRGN SPEC IGG EA/2,3.26,2.45,both
san_ramon,82105,CPT,7252114,300,ALPHA FETO PROTEIN SERUM,4.07,3.05,both
san_ramon,,,5318082,250,ALPHA1PROT INH PER10MGIJ,52.0,39.0,both
san_ramon,,,5318082,636,ALPHA1PROT INH PER10MGIJ,52.0,39.0,both
san_ramon,,,5300294,250,ALPRAZOLAM .25MG TB,71.0,53.25,both
san_ramon,,,5300294,637,ALPRAZOLAM .25MG TB,71.0,53.25,both
san_ramon,,,5300298,250,ALPRAZOLAM .5MG TB,95.0,71.25,both
san_ramon,,,5300298,637,ALPRAZOLAM .5MG TB,95.0,71.25,both
san_ramon,,,5318074,250,ALPROSTADL PER1.25MCG IJ,3.0,2.25,both
san_ramon,,,5318074,637,ALPROSTADL PER1.25MCG IJ,3.0,2.25,both
san_ramon,,,5318092,250,ALTEPLASE PER 1MG IJ,603.0,452.25,both
san_ramon,,,5318092,636,ALTEPLASE PER 1MG IJ,603.0,452.25,both
san_ramon,,,5300420,250,ALVIMOPAN 12MG CP,1316.0,987.0,both
san_ramon,,,5300420,637,ALVIMOPAN 12MG CP,1316.0,987.0,both
san_ramon,,,5300476,250,AMANTADINE 100MG CP,71.0,53.25,both
san_ramon,,,5300476,637,AMANTADINE 100MG CP,71.0,53.25,both
san_ramon,,,5314177,250,AMANTADINE 10M/M 5ML LQ,89.0,66.75,both
san_ramon,,,5314177,637,AMANTADINE 10M/M 5ML LQ,89.0,66.75,both
san_ramon,93788,CPT,4603784,921,AMB BP MNTR SCAN & RPT,2651.0,1988.25,both
san_ramon,80150,CPT,7252124,300,AMIKACIN,10.0,7.5,both
san_ramon,,,5300522,250,AMILORIDE 5MG TB,65.0,48.75,both
san_ramon,,,5300522,637,AMILORIDE 5MG TB,65.0,48.75,both
san_ramon,82139,CPT,7258213,300,AMINO ACIDS 6+ QNT/2,93.67,70.25,both
san_ramon,82131,CPT,7252620,300,AMINO ACIDS QNT SNGL/8,7.15,5.36,both
san_ramon,,,5318150,250,AMINOCAPROIC ACID PER 1GM IJ,15.0,11.25,both
san_ramon,,,5318150,636,AMINOCAPROIC ACID PER 1GM IJ,15.0,11.25,both
san_ramon,,,5318177,250,AMINOPHYLLIN UPTO250MGIJ,152.0,114.0,both
san_ramon,,,5318177,636,AMINOPHYLLIN UPTO250MGIJ,152.0,114.0,both
san_ramon,,,5318198,250,AMIODAR PER30MG PMXIV IJ,120.0,90.0,both
san_ramon,,,5318198,636,AMIODAR PER30MG PMXIV IJ,120.0,90.0,both
san_ramon,,,5300624,250,AMIODARONE 100MG TB,147.0,110.25,both
san_ramon,,,5300624,637,AMIODARONE 100MG TB,147.0,110.25,both
san_ramon,,,5300625,250,AMIODARONE 200MG TB,159.0,119.25,both
san_ramon,,,5300625,637,AMIODARONE 200MG TB,159.0,119.25,both
san_ramon,,,5318199,250,AMIODARONE PER 30MG IJ,40.0,30.0,both
san_ramon,,,5318199,636,AMIODARONE PER 30MG IJ,40.0,30.0,both
san_ramon,,,5300634,250,AMITRIPTYLINE 10MG TB,60.0,45.0,both
san_ramon,,,5300634,637,AMITRIPTYLINE 10MG TB,60.0,45.0,both
san_ramon,,,5300638,250,AMITRIPTYLINE 25MG TB,71.0,53.25,both
san_ramon,,,5300638,637,AMITRIPTYLINE 25MG TB,71.0,53.25,both
san_ramon,,,5300642,250,AMITRIPTYLINE 50MG TB,90.0,67.5,both
san_ramon,,,5300642,637,AMITRIPTYLINE 50MG TB,90.0,67.5,both
san_ramon,,,5300660,250,AMLODIPINE 2.5MG TB,147.0,110.25,both
san_ramon,,,5300660,637,AMLODIPINE 2.5MG TB,147.0,110.25,both
san_ramon,,,5300661,250,AMLODIPINE 5MG TB,216.0,162.0,both
san_ramon,,,5300661,637,AMLODIPINE 5MG TB,216.0,162.0,both
san_ramon,82140,CPT,4102140,300,AMMONIA,1246.0,934.5,both
san_ramon,82140,CPT,4152140,300,AMMONIA,516.0,387.0,both
san_ramon,82140,CPT,7252140,300,AMMONIA,14.54,10.91,both
san_ramon,,,5330219,250,AMMONIA AROMATIC IH,53.0,39.75,both
san_ramon,,,5314230,250,AMOXIC/CLAV200/5 50PWLQ,419.0,314.25,both
san_ramon,,,5314230,637,AMOXIC/CLAV200/5 50PWLQ,419.0,314.25,both
san_ramon,,,5314225,250,AMOXIC/CLAV200/5 5MLPWLQ,19.0,14.25,both
san_ramon,,,5314225,637,AMOXIC/CLAV200/5 5MLPWLQ,19.0,14.25,both
san_ramon,,,5314237,250,AMOXIC/CLAV250/5 5MLPWLQ,80.0,60.0,both
san_ramon,,,5314237,637,AMOXIC/CLAV250/5 5MLPWLQ,80.0,60.0,both
san_ramon,,,5314239,250,AMOXIC/CLAV250/5 75PWLQ,1400.0,1050.0,both
san_ramon,,,5314239,637,AMOXIC/CLAV250/5 75PWLQ,1400.0,1050.0,both
san_ramon,,,5314227,250,AMOXIC/CLAV400/5 50PWLQ,697.0,522.75,both
san_ramon,,,5314227,637,AMOXIC/CLAV400/5 50PWLQ,697.0,522.75,both
san_ramon,,,5314226,250,AMOXIC/CLAV400/5 5MLPWLQ,80.0,60.0,both
san_ramon,,,5314226,637,AMOXIC/CLAV400/5 5MLPWLQ,80.0,60.0,both
san_ramon,,,5314228,250,AMOXIC/CLAV400/5 75PWLQ,240.0,180.0,both
san_ramon,,,5314228,637,AMOXIC/CLAV400/5 75PWLQ,240.0,180.0,both
san_ramon,,,5314243,250,AMOXIC/CLAV600/5 5MLPWLQ,60.0,45.0,both
san_ramon,,,5314243,637,AMOXIC/CLAV600/5 5MLPWLQ,60.0,45.0,both
san_ramon,,,5314249,250,AMOXICILLIN 125/5 5ML LQ,220.0,165.0,both
san_ramon,,,5314249,637,AMOXICILLIN 125/5 5ML LQ,220.0,165.0,both
san_ramon,,,5314253,250,AMOXICILLIN 250/5 5ML LQ,141.0,105.75,both
san_ramon,,,5314253,637,AMOXICILLIN 250/5 5ML LQ,141.0,105.75,both
san_ramon,,,5300723,250,AMOXICILLIN 250MG CP,80.0,60.0,both
san_ramon,,,5300723,637,AMOXICILLIN 250MG CP,80.0,60.0,both
san_ramon,,,5300725,250,AMOXICILLIN 500MG CP,98.0,73.5,both
